"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",67.1775,298,68.3218,271,91.579,336,97.7297,347,103.959,131,104.979,108,-7.24969,251
"2026","Air Force",69.7357,208,67.3038,321,100.168,255,100.45,305,105.916,160,110.8,237,-10.3496,291
"2026","Akron",72.4833,106,72.5168,58,127.843,10,119.881,27,108.345,190,106.319,134,13.5629,61
"2026","Alabama",76.8292,14,75.2206,7,122.182,42,124.751,7,109.017,198,99.2674,31,25.4836,16
"2026","Alabama A&M",69.2,230,68.0937,285,93.1709,324,99.0253,331,109.113,202,110.884,240,-11.8592,309
"2026","Alabama St.",72.8042,100,70.5683,148,100.459,249,102.614,265,114.134,273,110.851,239,-8.23685,268
"2026","Albany",69.2937,227,69.144,222,87.3588,350,100.995,297,114.589,275,112.556,292,-11.5613,307
"2026","Alcorn St.",71.1482,158,70.3078,163,91.7157,334,99.2981,327,122.869,340,114.296,324,-14.9983,334
"2026","American",74.6813,46,70.0734,178,99.0731,271,102.083,272,118.161,311,111.77,264,-9.68642,285
"2026","Appalachian St.",63.2917,360,64.907,361,104.467,200,102.185,270,115.931,289,112.036,273,-9.85131,286
"2026","Arizona",71.6813,135,72.0969,74,118.96,61,122.55,10,94.7777,46,95.1153,11,27.4349,8
"2026","Arizona St.",72.3179,114,71.646,97,112.938,104,114.732,72,103.704,130,103.858,101,10.8735,83
"2026","Arkansas",73.8083,69,72.1757,71,122.537,38,117.722,46,95.4088,51,99.3826,33,18.3394,35
"2026","Arkansas Pine Bluff",76.1734,20,74.4986,10,91.0276,337,97.0906,350,129.168,363,120.08,362,-22.9896,363
"2026","Arkansas St.",75.2833,33,74.3748,12,100.812,246,106.427,187,112.43,259,108.202,172,-1.7744,169
"2026","Army",70.5563,180,70.0167,183,92.7936,329,98.1283,343,122.042,337,117.577,353,-19.4492,358
"2026","Auburn",70.3784,185,70.4889,151,124.063,29,120.82,20,104.195,137,102.294,81,18.5259,34
"2026","Austin Peay",70.3771,186,70.6757,141,101.181,242,102.726,264,97.4803,67,103.65,99,-0.923566,159
"2026","Ball St.",66.1562,328,67.8451,297,92.4171,330,101.887,281,108.648,192,112.186,277,-10.2984,289
"2026","Baylor",72.335,113,70.1958,167,118.779,62,121.112,17,110.953,234,101.417,69,19.6946,29
"2026","Bellarmine",68.0896,262,68.0773,287,108.437,153,108.717,137,123.463,345,118.181,356,-9.46335,282
"2026","Belmont",74.505,52,72.962,43,112.703,108,109.278,131,87.7132,9,101.317,67,7.96161,95
"2026","Bethune Cookman",67.7998,272,68.6437,256,102.374,231,104.584,227,117.234,303,110.624,231,-6.04004,231
"2026","Binghamton",65.8271,339,67.4814,314,95.0578,308,98.606,338,116.875,300,117.246,351,-18.6398,353
"2026","Boise St.",69.5687,214,68.6628,255,106.399,174,111.985,103,98.1417,73,98.4726,25,13.5122,63
"2026","Boston College",66.275,322,67.8292,299,101.382,240,104.545,230,95.7563,53,100.556,58,3.98888,123
"2026","Boston University",63.1079,362,65.1628,360,112.617,109,109.631,125,120.879,331,116.479,345,-6.84729,240
"2026","Bowling Green",73.345,79,72.3334,62,108.762,148,105.732,207,93.9048,38,104.623,105,1.10971,141
"2026","Bradley",68.9875,233,69.1932,220,110.058,130,108.714,138,104.35,142,106.263,131,2.45128,130
"2026","Brown",64.7754,354,67.6478,308,99.3181,268,99.7599,319,105.168,150,108.287,174,-8.52733,273
"2026","Bryant",68.7646,237,69.0512,227,85.4353,357,97.9,345,109.131,203,110.451,226,-12.5507,319
"2026","Bucknell",69.8643,204,69.3849,214,93.4586,322,100.254,308,110.258,217,110.417,224,-10.1634,288
"2026","Buffalo",67.4475,286,69.7478,204,120.386,52,107.768,161,109.039,199,112.894,301,-5.12527,220
"2026","Butler",75.1146,37,71.8168,87,120.047,53,116.538,54,97.2403,64,100.903,62,15.6357,49
"2026","BYU",69.92,203,70.8282,130,125.004,25,125.155,5,98.4452,77,98.5761,26,26.579,11
"2026","Cal Baptist",69.4042,221,68.9162,240,108.911,147,106.419,188,89.6342,20,104.133,103,2.28632,132
"2026","Cal Poly",78.9446,6,77.1665,2,98.6345,274,103.379,252,110.448,223,109.273,200,-5.89457,227
"2026","Cal St. Bakersfield",72.075,122,70.8102,131,97.3997,289,101.235,293,110.99,237,110.198,220,-8.96221,277
"2026","Cal St. Fullerton",79.1875,3,76.0286,3,102.284,233,101.703,286,115.778,287,114.195,323,-12.4916,318
"2026","California",71.675,136,70.8075,132,117.592,70,115.032,68,96.9723,63,102.293,80,12.7396,66
"2026","Campbell",73.0917,87,71.7822,88,96.9466,292,105.248,213,116.12,293,110.017,217,-4.7692,211
"2026","Canisius",62.4771,365,66.1627,353,96.6478,296,99.0128,332,118.835,319,115.795,339,-16.7818,345
"2026","Central Arkansas",70.0838,198,70.1617,169,97.7645,283,102.207,269,109.063,200,111.729,263,-9.52253,283
"2026","Central Connecticut",69.3911,224,68.5895,257,100.359,252,100.795,299,103.561,128,107.638,162,-6.84293,239
"2026","Central Michigan",67.6,281,68.7538,250,103.456,212,102.597,267,111.15,240,113.798,316,-11.2014,300
"2026","Charleston",67.0464,302,68.1606,279,109.202,143,108.414,148,110.077,216,109.22,199,-0.806313,158
"2026","Charleston Southern",75.1292,36,71.9066,81,107.274,163,102.986,259,108.576,191,112.524,291,-9.5375,284
"2026","Charlotte",63.145,361,64.6418,363,112.084,117,110.053,120,111.463,246,112.96,302,-2.90656,188
"2026","Chattanooga",67.4375,287,67.9241,291,106.101,180,110.499,116,119.014,321,112.468,288,-1.96963,172
"2026","Chicago St.",69.5786,212,69.0807,226,94.6473,313,99.0691,330,125.93,354,118.17,355,-19.1008,356
"2026","Cincinnati",76.1833,19,73.3783,31,103.098,220,107.775,160,84.4983,4,92.0795,3,15.6956,48
"2026","Clemson",67.3869,291,67.0762,331,123.122,33,119.613,30,93.9311,39,99.7248,42,19.8884,28
"2026","Cleveland St.",75.2021,35,73.0202,40,106.311,176,106.412,189,126.012,355,117.276,352,-10.8646,298
"2026","Coastal Carolina",72.6292,104,71.2784,118,94.5236,316,101.276,291,99.2147,89,107.077,151,-5.80052,226
"2026","Colgate",68.4075,254,68.5613,258,106.268,178,108.088,153,112.123,256,109.621,208,-1.53228,167
"2026","Colorado",71.6356,139,70.4687,153,128.758,8,117.614,47,110.971,235,107.731,163,9.88314,87
"2026","Colorado St.",65.2475,345,66.1997,351,137.906,2,120.802,21,113.127,267,109.896,212,10.9066,82
"2026","Columbia",67.0146,304,68.7411,251,111.128,123,106.728,179,99.1448,87,106.526,141,0.201905,149
"2026","Connecticut",68.4729,251,67.6894,305,121.877,44,122.519,11,89.8112,22,96.3543,13,26.1652,15
"2026","Coppin St.",70.4437,183,70.523,149,86.5243,353,90.9583,365,119.529,323,114.796,331,-23.8376,364
"2026","Cornell",75.7065,29,74.295,15,112.187,115,109.774,121,108.655,193,111.843,268,-2.06957,177
"2026","Creighton",68.3479,255,68.5596,259,109.517,141,116.163,55,104.267,139,102.568,85,13.5948,60
"2026","CSUN",75.2906,32,74.5562,9,103.804,206,107.004,175,115.012,278,110.326,222,-3.32155,195
"2026","Dartmouth",72.9917,90,73.4563,30,95.0147,310,101.735,285,110.564,225,113.124,305,-11.3888,303
"2026","Davidson",67.0225,303,68.0212,288,106.179,179,108.546,144,104.387,144,105.066,109,3.47999,125
"2026","Dayton",69.4868,219,68.9453,236,111.994,118,112.135,101,94.2024,40,99.7304,43,12.4048,70
"2026","Delaware",66.24,323,68.321,272,106.307,177,106.363,190,112.703,262,111.549,257,-5.18583,221
"2026","Delaware St.",66.8375,310,68.6937,254,78.0821,365,93.5382,362,118.19,312,115.495,333,-21.9565,362
"2026","Denver",68.6542,246,68.9159,241,111.321,122,109.274,132,123.847,348,117.161,349,-7.88656,263
"2026","DePaul",71.7458,131,70.2791,165,112.51,111,109.257,133,96.1062,59,103.48,96,5.77663,110
"2026","Detroit Mercy",72.9229,93,71.8429,84,95.3481,305,101.041,296,122.232,338,114.859,332,-13.8183,328
"2026","Drake",66.2931,321,68.1097,282,104.329,202,107.103,173,100.379,98,105.727,123,1.37619,138
"2026","Drexel",67.6107,280,66.9713,332,102.813,224,101.91,279,107.989,186,110.658,232,-8.7486,275
"2026","Duke",71.1589,157,69.7374,205,131.371,5,125.424,3,80.3363,1,93.5493,7,31.8744,3
"2026","Duquesne",75.0796,38,73.5386,27,112.934,105,108.86,134,105.03,148,105.473,114,3.38728,127
"2026","East Carolina",72.8125,99,71.307,114,94.2109,318,101.38,289,117.542,306,109.185,197,-7.80447,261
"2026","East Tennessee St.",67.89,268,68.9772,234,115.109,90,108.658,141,95.1018,48,106.01,128,2.64828,129
"2026","East Texas A&M",71.3125,152,69.8864,191,97.7492,285,98.8159,335,105.867,159,111.174,249,-12.3584,315
"2026","Eastern Illinois",66.4275,317,67.362,320,90.1711,342,96.8981,354,115.488,284,111.562,259,-14.6636,332
"2026","Eastern Kentucky",74.4075,54,71.9495,78,100.399,251,105.659,208,120.905,332,114.402,326,-8.74353,274
"2026","Eastern Michigan",71.3438,150,69.6332,208,101.009,243,103.271,253,106.489,172,109.778,210,-6.50633,236
"2026","Eastern Washington",70.2086,194,70.9083,127,99.1822,269,106.439,185,117.747,309,113.551,311,-7.11195,248
"2026","Elon",70.4936,181,69.2627,219,121.641,45,111.848,104,115.92,288,113.905,318,-2.05633,176
"2026","Evansville",68.2438,257,69.782,201,95.1043,307,99.8204,318,119.173,322,111.29,253,-11.47,306
"2026","Fairfield",70.56,179,70.6356,143,105.678,188,104.052,237,104.094,133,111.163,248,-7.11092,247
